item_id,L1,GLMM_score,joined_text
1,de,-2.76940803,Zeitraum [SEP] Über einen Zeitraum von fünf Monaten wurden Zeugenaussagen gesammelt und Beweise sichergestellt. [SEP] s___ [SEP] span
2,de,-1.567125557,fundamental [SEP] Nach unserem Gespräch hat sich seine Einstellung fundamental geändert. [SEP] r________ [SEP] radically
3,de,1.578899839,Supermarkt [SEP] Die Frau geht in dem Supermarkt einkaufen. [SEP] s__________ [SEP] supermarket
4,de,0.127510273,Flugzeug [SEP] Der Pilot flog das Flugzeug. [SEP] a_______ [SEP] airplane
5,de,-3.642623474,"anstrengend [SEP] Seine Kinder sind ziemlich anstrengend. (NICHT taxing, NICHT tiring) [SEP] t_____ [SEP] trying"
6,de,0.197889082,Rennsport [SEP] Als aktiver Fahrer konnte er schon viel Erfahrung im Rennsport sammeln. [SEP] r_____ [SEP] racing
7,de,2.704855899,"schlafen [SEP] Ich schlafe schon seit Jahren hervorragend dank der Matratze, die wir damals gekauft haben. [SEP] s____ [SEP] sleep"
8,de,0.544554828,Militär [SEP] Er ist ein wichtiger Offizier beim Militär. [SEP] m_______ [SEP] military
9,de,-2.044385253,Fassungsvermögen [SEP] Dieser Tank hat ein Fassungsvermögen von dreißig Litern. [SEP] c_______ [SEP] capacity
10,de,-1.344922248,Rohr [SEP] Ich verwende hauptsächlich Rohrzucker. [SEP] c___ [SEP] cane
11,de,-0.47525357,sich [SEP] Rosa hat sich ihr Knie an der Tür angestoßen. [SEP] k____ [SEP] knock
12,de,-0.446275153,"Flur [SEP] Die Schüler müssen den langen Flur entlang laufen, um ins Chemielabor zu gelangen. [SEP] h______ [SEP] hallway"
13,de,-1.755048423,ausgelegt [SEP] Die Nachfrage nach den ausgelegten Uhren war groß. [SEP] d________ [SEP] displayed
14,de,-0.388801358,herausfordernd [SEP] Die herausfordernde Aufgabe konnte gut bewältigt werden. [SEP] c__________ [SEP] challenging
15,de,-0.859479017,Missionar [SEP] Sie arbeitete als Missionarin für viele Jahre in Afrika. [SEP] m_________ [SEP] missionary
16,de,1.25600929,groß [SEP] Er war ein großer und dünner Mann. [SEP] t___ [SEP] tall
17,de,-0.185057379,ausbleichen [SEP] Die Operationsnarbe verblasst. [SEP] f___ [SEP] fade
18,de,3.406414525,Straße [SEP] In dieser Straße wurde Beethoven geboren. [SEP] s_____ [SEP] street
19,de,0.359557952,Handgelenk [SEP] Ich habe mir das Handgelenk verstaucht. [SEP] w____ [SEP] wrist
20,de,-0.077003042,derzeitig [SEP] In seinem derzeitigen Zustand sollte er sich nicht zu sehr aufregen. [SEP] p______ [SEP] present
21,de,2.154828071,Softball [SEP] Softball ist sehr ähnlich wie Baseball und bei vielen Amerikanern sehr beliebt. [SEP] s_______ [SEP] softball
22,de,2.631080844,"sitzen [SEP] Den Kindern war so langweilig, dass sie kaum mehr sitzen wollten. [SEP] s__ [SEP] sit"
23,de,-2.650761357,Einstellung [SEP] Was ist seine Einstellung gegenüber dem Grundeinkommen? [SEP] s_____ [SEP] stance
24,de,1.150954842,gläubig [SEP] Die ganze Familie ist sehr gläubig und geht regelmäßig in die Kirche. [SEP] r________ [SEP] religious
25,de,-1.355967472,"entsetzen [SEP] Heutzutage ist es als Künstler gar nicht mehr so leicht, das Publikum zu entsetzen. [SEP] s____ [SEP] shock"
26,de,-0.187940097,besuchen [SEP] Ich besuche die Konferenz im Mai. [SEP] a_____ [SEP] attend
27,de,-3.620795374,Team [SEP] Ein Expertenteam beurteilt die Eignung der Kandidaten. [SEP] p____ [SEP] panel
28,de,0.781253939,Scheibe [SEP] Kannst du mir auch bitte noch eine Scheibe Brot abschneiden? [SEP] s____ [SEP] slice
29,de,-0.665605007,"Samen [SEP] Wenn Samen auf eine gesunde Eizelle trifft, kommt es zur Befruchtung und ein Baby beginnt zu entstehen. [SEP] s____ [SEP] sperm"
30,de,-0.455851144,vietnamesisch [SEP] Sie liebt die vietnamesische Küche. [SEP] v_________ [SEP] vietnamese
31,de,-2.452214195,Mord [SEP] Er wurde des Mordes an seiner Frau und seinem Kinde angeklagt. [SEP] m________ [SEP] murdering
32,de,3.23037624,Lächeln [SEP] Sie begrüßten uns mit einem breiten Lächeln in ihren Gesichtern. [SEP] s____ [SEP] smile
33,de,-1.829146773,grell [SEP] Ich muss die Augen schließen. Das Licht ist grell. [SEP] b_______ [SEP] blinding
34,de,-0.540535459,"bemerkenswert [SEP] Das Stück, das gerade im Theater läuft, ist wirklich sehr bemerkenswert. [SEP] r_________ [SEP] remarkable"
35,de,-1.580679661,Grafik [SEP] Die aktuellen Geburtsraten sind in der Grafik auf Seite 19 dargestellt. [SEP] c____ [SEP] chart
